,Pokemon,Behavior
1,Dunsparce," They are very nearly blind, using the two protrusions on the undersides of their lower jaws to feel their way around in total darkness"
2,Dunsparce," When threatened, they will burrow backwards into the earth using their drill-like tails"
3,Dunsparce," Dunsparce form very intricate subterranean nests, living in in colonies (called “broods”) numbering in the hundreds"
4,Dunsparce,Predators who are able to follow Dunsparce down their holes as they burrow to escape will be met with near-inescapable mazes of intersecting tunnels; Dunsparce themselves can navigate their labyrinths using their excellent senses of smell
5,Dunsparce," In some regions, they even cohabitate peacefully with Diglett and share their tunnel networks"
6,Dunsparce, Dunsparce also have pairs of vestigial wing growths located on their backs
7,Dunsparce," Though they are very weak, Dunsparce can be trained to float a few centimeters off the ground for several seconds by flapping these growths furiously"
8,Dunsparce," However, they are unable to actually take off and fly in the air, and are normally left very exhausted by the sheer effort required to even lift slightly off of the ground"
0,Gligar,"Gligar cling to steep cliff sides when resting, digging their pincers and claws into the rocky mountainside to hold on"
1,Gligar," They travel by gliding on favorable winds; though they can journey very far with this method, they are unable to truly “fly” like most avians, and do not flap their “wings” like them either"
2,Gligar," Gligar live in colonies of roughly a dozen individuals, all nesting on the same cliff"
3,Gligar," To hunt, Gligar soar in search of suitable prey, dropping down below when they find some"
4,Gligar," Then, they stretch out all of their limbs and dive at the faces of their victims"
5,Gligar," They latch on with their pincers and then use their stingers to inject poison and paralyze prey; then, they carry their meals back to their nests without resistance"
6,Gligar,"Trained Gligar are known to use this face-hugging habit as a form of affection with their trainers, sans the digging of claws into the flesh and the injection of poison into their trainers’ foreheads (though there have been some accidents reported)"
7,Gligar,Gligar evolves into a Gliscor by having it hold a Razor Fang and leveling it up at night
0,Steelix,Steelix are rather rash and often charge into situations without thinking about the consequences of their actions
1,Steelix, Often if they are disturbed they will attack anyone rather than the actual person responsible for disturbing them
2,Steelix, They also often prone to being a bit vain and in some cases a bully to other Pokémon that happen to live in the area they are living in
3,Steelix," This could be from evolving from Onix and realizing how powerful they have become and letting this knowledge go to their heads, as Onix are usually more peaceful than Steelix"
4,Steelix, Steelix don't give up until they are beaten
5,Steelix, Often they are adamant about their choice of action
6,Steelix," Steelix like to burrow underground and prefer to live inside mountains or on mountains, or even caves"
7,Steelix,Steelix can be obtained by making an Onix hold a Metal Coat and trading it
8,Steelix, Steelix obtains a mega evolution in Omega Ruby and Alpha Sapphire
0,Snubbull,"Despite its rather intimidating appearance, Snubbull has a playful and affectionate personality, similar to the real-life bulldog, which makes it a popular pet among the women of the Pokémon world"
1,Snubbull," Another of Snubbull's personality traits is its cowardice, which it tries to hide behind a gruff exterior"
0,Granbull,"Despite its fierce appearance, it is actually very timid"
1,Granbull," Unless Granbull is startled, it will not bite indiscriminately"
2,Granbull," If attacked, it will flail about to fend off its attacker"
3,Granbull,"despite this There is one situation, though, where Granbull will attack ferociously: when their loved ones are threatened"
4,Granbull," If their offspring, friends, or other that Granbull care for are threatened, they will attack in blind rages against the offenders"
5,Granbull, This curious aspect of their personalities—docile unless they sense threats—make them great guards within domestic homes
6,Granbull," However, they are far less useful when defending properties, as they will avoid conflict if no lives are at stake"
7,Granbull," Still, their loyalty makes them popular pets"
0,Qwilfish,"To defend themselves, Qwilfish quickly swallow large amounts of water (2"
2,Qwilfish," 10 litres on average) and inflate themselves to up to twice their original sizes, hoping to match their foes in stature"
3,Qwilfish," In this state, they can launch the spikes off of their bodies to spear and inject enemies with their toxins"
4,Qwilfish," While inflated, however, Qwilfish experience much trouble swimming; though they are already not very good swimmers when deflated, they often will fail to move at all when fully inflated, simply floating along in the ocean currents until they expel all of their water"
5,Qwilfish,Qwilfish are territorial and will engage in inflation contests to see who can grow the largest
6,Qwilfish," Generally, individuals float away in currents before winners can be determined"
7,Qwilfish," They usually swim in the open ocean, far away from the shore"
8,Qwilfish,"In the cold waters of Hisui (and by extension Sinnoh), resources were scarcer than in more temperate regions"
9,Qwilfish, Scientists believe that the region's harsher climate forced Hisuian Qwilfish to become more aggressive than their relatives in order to survive
10,Qwilfish," Rather than inflating themselves for protection, they instead spray venom from the tips of their barbs, jetting it through the water in streams"
11,Qwilfish," In addition to being noxious, this venom numbs upon contact and can even paralyze nerves if left untreated"
12,Qwilfish, Hisuian Qwilfish are short-tempered and will consider any foreign entity that approach them to be a threat
13,Qwilfish," Sinnohan fishermen historically were at odds with these Pokémon; there are many recorded accounts of fishing boats returning from the sea with full hauls, only to have them spoiled by a Hisuian Qwilfish spraying venom all over the catches"
14,Qwilfish, Nets were also commonly torn to shreds by their spiky exteriors
15,Qwilfish," Their relationships with these fishermen weren't strictly detrimental, however"
16,Qwilfish," Hisuian Qwilfish venom, after being diluted with seawater, was also used as an anesthetic for emergency medical treatments on ships"
0,Scizor,"They are tougher and stronger than Scyther, but have lost their predecessor's speed"
1,Scizor," Instead, they spread their wings to cool off, and flap them very rapidly to heat up, or to blow air to cool themselves off"
2,Scizor," While Scyther are mantis-like predator, striking fast and simply evading potential pursuers, Scizor are coated with a red steel of sorts and therefore not quite as agile"
